filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n28__42CYC.json,233,,134,324,0.1046,0.2884
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/adder_n64__78CYC.json,461,,504,679,0.84,0.6985
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n30__22CYC.json,24,,36,57,0.0167,0.1336
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/bv_n70__40CYC.json,42,,138,142,0.0454,0.3073
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n35__36CYC.json,37,,10,46,0.0044,0.2588
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/cat_n65__66CYC.json,67,,36,99,0.0095,0.1585
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/dnn_n51__58CYC.json,293,,172,451,0.7684,0.6079
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n40__41CYC.json,42,,10,51,0.0043,0.0923
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ghz_n78__79CYC.json,80,,76,142,0.015,0.2162
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n34__16CYC.json,10,,12,21,0.0147,0.1414
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/ising_n66__16CYC.json,10,,42,31,0.0343,0.2817
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n31__18CYC.json,133,,41,218,0.0348,0.2272
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/knn_n67__36CYC.json,277,,152,499,0.1471,0.48
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n45__462CYC.json,2440,,1921,3664,2.2144,3.4097
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/multiplier_n75__1308CYC.json,6928,,6129,11098,10.6431,9.9134
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n29__222CYC.json,225,,797,761,1.1088,2.8613
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qft_n63__494CYC.json,497,,3029,2174,7.3689,29.5927
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n39__40CYC.json,260,,189,537,0.6186,0.4871
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/qugan_n71__72CYC.json,468,,543,859,4.4312,1.3442
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/swap_test_n41__23CYC.json,174,,65,291,0.053,0.285
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n36__73CYC.json,144,,19,153,0.0203,0.1677
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-large/wstate_n76__153CYC.json,304,,173,415,0.0809,0.3798
