filename,depth,qops,swap_count,final_depth,runtime,init_time
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bigadder_n18__37CYC.json,180,,49,245,0.0731,3.0534
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n14__17CYC.json,19,,71,65,0.0182,1.3075
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/bv_n19__22CYC.json,24,,84,86,0.0198,2.3335
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/cat_state_n22__23CYC.json,24,,0,24,0.0023,0.158
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/dnn_n16__173CYC.json,245,,45,453,0.2555,2.3964
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ghz_state_n23__24CYC.json,25,,0,25,0.0023,0.1671
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/ising_n26__16CYC.json,10,,0,10,0.0107,0.1939
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/knn_n25__15CYC.json,109,,208,202,0.159,4.2524
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiplier_n15__49CYC.json,256,,186,348,0.1416,1.4088
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/multiply_n13__7CYC.json,41,,71,64,0.0308,1.2979
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qec9xz_n17__16CYC.json,24,,59,46,0.0287,1.7561
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qf21_n15__52CYC.json,235,,116,331,0.0527,1.4218
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qft_n18__134CYC.json,137,,300,395,0.2669,1.999
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/qram_n20__24CYC.json,143,,334,295,0.1458,1.6467
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/sat_n11__51CYC.json,457,,121,581,0.0926,1.3607
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/seca_n11__37CYC.json,87,,25,111,0.0442,1.1124
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/square_root_n18__203CYC.json,1429,,778,2265,0.533,3.23
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/swap_test_n25__15CYC.json,110,,208,203,0.2094,3.0921
/home/jmsb00nd/Documents/auto-heuristics/benchmarks/qasmbench-medium/wstate_n27__55CYC.json,108,,0,108,0.0127,0.2369
