file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/small/adder_n10__24CYC.json,24,166,21,223,21,223,34,201,34,201
benchmarks/polyhedral/small/qft_n4__9CYC.json,9,44,4,46,4,46,4,54,4,54
benchmarks/polyhedral/small/deutsch_n2__5CYC.json,5,10,0,10,0,10,0,8,0,8
benchmarks/polyhedral/small/toffoli_n3__13CYC.json,13,21,2,23,2,23,2,19,2,19
benchmarks/polyhedral/small/vqe_uccsd_n6__1486CYC.json,1486,2124,24,2157,24,2157,24,3685,24,3685
benchmarks/polyhedral/small/bb84_n8__7CYC.json,7,23,0,7,0,7,0,7,0,7
benchmarks/polyhedral/small/basis_trotter_n4__815CYC.json,815,2353,0,1676,0,1676,0,1672,0,1672
benchmarks/polyhedral/small/cat_state_n4__5CYC.json,5,6,0,11,0,11,0,7,0,7
benchmarks/polyhedral/small/dnn_n8__173CYC.json,173,1416,27,630,27,630,33,712,33,712
benchmarks/polyhedral/small/ising_n10__71CYC.json,71,415,0,100,0,100,15,106,15,106
benchmarks/polyhedral/small/qec_en_n5__18CYC.json,18,46,4,26,4,26,4,36,4,36
benchmarks/polyhedral/small/teleportation_n3__7CYC.json,7,12,0,13,0,13,0,11,0,11
benchmarks/polyhedral/small/qaoa_n6__110CYC.json,110,378,18,279,18,279,18,267,18,267
benchmarks/polyhedral/small/hhl_n7__551CYC.json,551,990,61,1026,61,1026,59,1134,59,1134
benchmarks/polyhedral/small/bell_n4__14CYC.json,14,53,1,29,1,29,1,31,1,31
benchmarks/polyhedral/small/linearsolver_n3__12CYC.json,12,26,0,29,0,29,0,25,0,25
benchmarks/polyhedral/small/dnn_n2__155CYC.json,155,306,0,258,0,258,0,254,0,254
benchmarks/polyhedral/small/qaoa_n3__12CYC.json,12,32,2,21,2,21,2,21,2,21
benchmarks/polyhedral/small/hs4_n4__10CYC.json,10,28,0,16,0,16,0,12,0,12
benchmarks/polyhedral/small/grover_n2__12CYC.json,12,15,0,16,0,16,0,12,0,12
benchmarks/polyhedral/small/basis_change_n3__22CYC.json,22,85,0,59,0,59,0,51,0,51
benchmarks/polyhedral/small/vqe_uccsd_n4__145CYC.json,145,238,0,232,0,232,0,342,0,342
benchmarks/polyhedral/small/pea_n5__68CYC.json,68,108,8,119,8,119,8,104,8,104
benchmarks/polyhedral/small/fredkin_n3__12CYC.json,12,22,2,22,2,22,2,27,2,27
benchmarks/polyhedral/small/iswap_n2__8CYC.json,8,14,0,15,0,15,0,11,0,11
benchmarks/polyhedral/small/wstate_n3__14CYC.json,14,35,2,36,2,36,2,28,2,28
benchmarks/polyhedral/small/vqe_uccsd_n8__7252CYC.json,7252,9676,200,9689,200,9689,209,18265,209,18265
benchmarks/polyhedral/small/vqe_n4__28CYC.json,28,73,0,32,0,32,0,24,0,24
benchmarks/polyhedral/small/qrng_n4__2CYC.json,2,12,0,4,0,4,0,4,0,4
benchmarks/polyhedral/small/adder_n4__12CYC.json,12,27,2,26,2,26,2,26,2,26
benchmarks/polyhedral/small/error_correctiond3_n5__78CYC.json,78,237,7,143,7,143,7,191,7,191
benchmarks/polyhedral/small/quantumwalks_n2__8CYC.json,8,38,0,29,0,29,0,23,0,23
benchmarks/polyhedral/small/lpn_n5__5CYC.json,5,17,0,13,error,error,timeout,timeout,timeout,timeout
benchmarks/polyhedral/small/variational_n4__34CYC.json,34,58,0,51,0,51,0,51,0,51
benchmarks/polyhedral/small/simon_n6__9CYC.json,9,56,5,57,5,57,5,45,5,45
benchmarks/polyhedral/small/qpe_n9__21CYC.json,21,153,23,158,23,158,32,143,32,143
