file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/small/adder_n10__24CYC.json,24,166,25,148,29,155,32,152,16,133
benchmarks/polyhedral/small/qft_n4__9CYC.json,9,44,4,37,3,32,4,37,3,32
benchmarks/polyhedral/small/deutsch_n2__5CYC.json,5,10,0,7,0,7,0,7,0,7
benchmarks/polyhedral/small/toffoli_n3__13CYC.json,13,21,3,15,1,18,3,15,1,18
benchmarks/polyhedral/small/vqe_uccsd_n6__1486CYC.json,1486,2124,20,1632,20,1632,20,1632,10,1620
benchmarks/polyhedral/small/bb84_n8__7CYC.json,7,23,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/basis_trotter_n4__815CYC.json,815,2353,0,1267,0,1267,0,1267,0,1267
benchmarks/polyhedral/small/cat_state_n4__5CYC.json,5,6,0,6,0,6,0,6,0,6
benchmarks/polyhedral/small/dnn_n8__173CYC.json,173,1416,18,401,20,251,24,446,7,400
benchmarks/polyhedral/small/ising_n10__71CYC.json,71,415,0,59,0,59,20,86,0,59
benchmarks/polyhedral/small/qec_en_n5__18CYC.json,18,46,4,27,2,27,4,27,1,22
benchmarks/polyhedral/small/teleportation_n3__7CYC.json,7,12,0,8,0,8,0,8,0,8
benchmarks/polyhedral/small/qaoa_n6__110CYC.json,110,378,17,193,10,225,17,193,7,218
benchmarks/polyhedral/small/hhl_n7__551CYC.json,551,990,65,871,57,866,65,871,25,859
benchmarks/polyhedral/small/bell_n4__14CYC.json,14,53,1,26,1,23,1,26,0,23
benchmarks/polyhedral/small/linearsolver_n3__12CYC.json,12,26,0,20,0,20,0,20,0,20
benchmarks/polyhedral/small/dnn_n2__155CYC.json,155,306,0,213,0,213,0,213,0,213
benchmarks/polyhedral/small/qaoa_n3__12CYC.json,12,32,2,18,1,17,2,18,1,17
benchmarks/polyhedral/small/hs4_n4__10CYC.json,10,28,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/grover_n2__12CYC.json,12,15,0,11,0,11,0,11,0,11
benchmarks/polyhedral/small/basis_change_n3__22CYC.json,22,85,0,50,0,50,0,50,0,50
benchmarks/polyhedral/small/vqe_uccsd_n4__145CYC.json,145,238,0,167,0,167,0,167,0,167
benchmarks/polyhedral/small/pea_n5__68CYC.json,68,108,8,94,5,93,8,94,4,89
benchmarks/polyhedral/small/fredkin_n3__12CYC.json,12,22,3,20,3,20,3,20,3,20
benchmarks/polyhedral/small/iswap_n2__8CYC.json,8,14,0,10,0,10,0,10,0,10
benchmarks/polyhedral/small/wstate_n3__14CYC.json,14,35,3,24,3,24,3,24,3,24
benchmarks/polyhedral/small/vqe_uccsd_n8__7252CYC.json,7252,9676,130,7738,130,7738,173,7768,91,7688
benchmarks/polyhedral/small/vqe_n4__28CYC.json,28,73,0,23,0,23,0,23,0,23
benchmarks/polyhedral/small/qrng_n4__2CYC.json,2,12,0,3,0,3,0,3,0,3
benchmarks/polyhedral/small/adder_n4__12CYC.json,12,27,2,17,2,17,2,17,0,15
benchmarks/polyhedral/small/error_correctiond3_n5__78CYC.json,78,237,7,142,12,146,7,142,4,138
benchmarks/polyhedral/small/quantumwalks_n2__8CYC.json,8,38,0,22,0,22,0,22,0,22
benchmarks/polyhedral/small/lpn_n5__5CYC.json,5,17,1,8,0,8,1,8,0,8
benchmarks/polyhedral/small/variational_n4__34CYC.json,34,58,0,38,2,40,0,38,0,38
benchmarks/polyhedral/small/simon_n6__9CYC.json,9,56,8,37,5,37,8,37,5,37
benchmarks/polyhedral/small/qpe_n9__21CYC.json,21,153,27,113,21,111,37,115,15,113
