file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,311,197,148,116,183,169,67,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,125,137,29,85,50,168,14,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,502,228,291,169,177,137,123,117
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,345,203,160,162,155,145,59,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,353,185,148,111,131,153,85,103
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,363,207,205,134,187,175,79,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,384,166,144,100,130,131,67,80
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,127,221,24,94,37,154,11,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,447,198,208,124,150,136,109,108
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,296,205,122,139,120,137,67,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,512,229,247,159,190,135,108,110
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,226,144,106,91,97,122,53,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,244,148,107,82,117,98,46,60
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,267,154,130,116,107,95,73,93
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,218,181,102,125,119,147,52,86
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,345,175,196,113,159,135,101,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,101,164,35,82,41,143,11,56
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,430,219,167,133,162,144,106,124
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,45,135,104,86,22,54,42,65,14,54
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,45,225,293,154,108,84,96,89,57,70
