file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,316,232,318,219,147,140,187,175
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,98,132,31,102,33,119,22,80
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,512,268,424,248,151,137,218,189
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,377,312,194,177,129,167,118,161
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,326,212,265,173,135,149,111,108
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,345,225,269,197,181,200,144,151
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,341,235,281,203,148,148,96,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,105,226,48,143,45,165,15,101
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,400,204,244,153,157,159,125,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,283,231,187,170,105,147,71,107
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,548,260,425,236,156,158,242,180
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,209,180,177,188,96,131,87,119
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,200,125,159,125,99,74,75,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,313,191,149,124,80,95,88,115
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,211,215,155,178,112,157,96,166
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,404,250,268,180,134,122,155,139
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,122,162,24,75,36,122,35,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,314,212,337,213,168,161,135,139
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,45,135,108,80,70,75,38,68,36,66
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,45,225,267,174,173,116,103,104,96,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,45,585,99,205,32,126,46,153,21,123
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,45,315,405,223,351,193,223,177,218,165
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_0.json,45,405,219,178,191,171,111,152,98,139
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_3.json,45,540,151,155,120,168,81,130,68,139
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_6.json,45,315,395,232,320,205,171,146,166,142
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_9.json,45,180,276,155,236,152,122,115,91,88
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_4.json,45,360,317,212,201,141,125,129,147,152
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_0.json,45,540,195,164,107,156,81,167,62,134
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_0.json,45,315,238,169,169,131,114,128,68,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_2.json,45,270,381,209,200,169,114,104,101,120
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_5.json,45,540,167,182,136,189,88,143,51,134
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_1.json,45,405,442,235,413,278,174,173,238,203
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_8.json,45,495,92,129,49,111,41,134,15,72
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_9.json,45,315,107,115,84,107,45,102,51,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_9.json,45,450,388,258,397,242,143,170,168,173
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_8.json,45,315,417,233,272,200,160,131,146,150
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_3.json,45,495,128,159,52,102,43,134,17,82
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_3.json,45,315,459,274,412,247,204,176,264,228
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.1D2_1.json,45,45,82,79,35,63,28,59,13,52
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_3.json,45,495,292,229,153,173,131,180,76,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_6.json,45,315,380,212,296,182,222,187,215,157
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_1.json,45,360,457,252,444,258,169,146,217,161
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_3.json,45,450,530,329,407,239,200,186,167,168
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.7D1_.1D2_1.json,45,675,95,207,36,121,32,117,22,90
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_0.json,45,360,574,293,475,262,155,137,202,178
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.2D2_4.json,45,90,156,117,97,103,80,71,46,66
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_6.json,45,315,127,144,52,100,41,98,25,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.2D2_1.json,45,630,203,212,147,186,83,155,48,150
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_7.json,45,450,298,213,193,163,151,165,80,143
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_0.json,45,450,199,177,147,160,53,106,46,97
