file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,435,249,435,249,197,156,197,156
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,112,114,112,114,52,90,52,90
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,704,351,744,366,279,191,242,170
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,383,252,383,252,229,185,229,185
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,406,247,406,247,182,135,182,135
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,447,253,447,253,209,172,209,172
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,322,173,322,173,183,163,183,163
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,125,119,125,119,53,84,53,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,546,293,546,293,239,194,239,194
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,314,207,314,207,149,148,149,148
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,681,352,705,326,332,239,318,264
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,252,151,252,151,131,137,131,137
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,228,157,224,154,120,115,117,125
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,342,222,342,222,121,100,121,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,271,190,271,190,124,147,124,147
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,556,320,531,258,212,165,246,215
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,134,109,134,109,53,78,53,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,515,299,515,299,237,201,237,201
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,45,135,107,86,107,86,42,89,42,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,45,225,287,152,287,152,172,140,172,140
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,45,585,120,101,120,101,46,81,46,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,45,315,598,351,598,351,273,207,234,169
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_0.json,45,405,377,220,377,220,144,147,144,147
