file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,450,332,177,168,140,158,166,88,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,495,108,174,29,88,42,109,13,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,360,528,260,310,203,209,181,129,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,540,298,206,168,171,165,183,77,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,360,384,242,151,135,149,181,84,129
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,495,431,279,209,171,166,166,81,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,360,303,181,138,116,149,156,88,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,585,101,213,24,92,47,145,11,66
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,315,378,213,219,148,150,134,117,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,495,269,209,119,122,126,172,72,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,360,619,268,256,152,212,186,136,125
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,405,220,149,111,106,140,187,53,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,135,219,134,96,76,99,102,47,61
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,315,302,191,122,120,103,142,69,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,585,233,214,112,151,117,156,61,112
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,45,270,432,210,208,147,210,155,113,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,45,495,99,160,34,79,41,115,12,55
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,45,405,352,195,208,170,187,169,95,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,45,135,94,74,25,50,40,56,14,48
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,45,225,289,129,114,82,115,127,63,74
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,45,585,92,174,22,81,46,136,16,74
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,45,315,489,209,247,154,254,190,128,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_0.json,45,405,202,138,118,142,134,136,53,82
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_3.json,45,540,179,145,73,119,82,138,36,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_6.json,45,315,360,210,190,145,184,169,129,126
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_9.json,45,180,262,156,137,108,152,124,78,82
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_4.json,45,360,321,191,148,111,134,148,103,104
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_0.json,45,540,181,158,79,135,71,136,35,70
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_0.json,45,315,238,174,120,113,141,177,64,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_2.json,45,270,301,150,175,127,133,122,90,93
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_5.json,45,540,233,187,74,107,82,131,38,98
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_1.json,45,405,437,248,320,199,232,197,135,151
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_8.json,45,495,73,125,23,81,41,132,13,56
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_9.json,45,315,107,114,30,62,55,91,16,49
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_9.json,45,450,378,219,218,156,154,155,122,122
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_8.json,45,315,398,214,217,134,138,114,120,110
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_3.json,45,495,102,134,26,103,52,127,18,85
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_3.json,45,315,533,250,237,138,250,172,178,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.1D2_1.json,45,45,89,83,28,63,40,64,14,52
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_3.json,45,495,271,215,134,135,148,193,52,94
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_6.json,45,315,453,206,230,125,191,143,136,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_1.json,45,360,471,256,266,169,226,191,141,146
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_3.json,45,450,424,231,280,204,192,172,111,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.7D1_.1D2_1.json,45,675,123,241,28,104,45,121,14,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_0.json,45,360,575,262,346,193,231,177,185,145
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.2D2_4.json,45,90,175,112,75,73,95,86,35,62
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_6.json,45,315,132,128,23,71,34,92,13,85
