file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_9.json,500,5680,1010,1428,578,912,303,1079,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_2.json,700,7952,1111,1497,817,1329,724,1837,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_5.json,400,4544,798,1111,482,781,327,787,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_8.json,800,9088,1398,1969,1073,1894,713,1827,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_7.json,800,9088,1546,2117,987,1502,190,1179,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_5.json,900,10224,1629,2355,1069,1756,427,1730,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_8.json,400,4544,738,1021,422,759,333,930,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_9.json,800,9088,1436,2117,974,1525,325,1402,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,2272,461,542,256,552,224,545,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_2.json,900,10224,1580,2374,1087,1719,151,1157,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,3408,600,757,358,537,318,788,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_6.json,900,10224,1527,2269,1056,1648,103,1086,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,2272,373,538,246,438,160,455,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_3.json,500,5680,879,1360,631,1022,289,936,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_8.json,900,10224,1613,2368,1102,1638,613,1871,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,400,4544,740,1105,460,841,342,976,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,800,9088,1438,1842,951,1526,502,1552,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_6.json,500,5680,1226,1565,534,879,470,1191,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_5.json,800,9088,1434,2002,1009,1691,263,1436,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_5.json,500,5680,1137,1420,588,992,398,1137,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_1.json,900,10224,1886,2651,1008,1656,416,1763,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,3408,590,839,353,544,394,804,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,3408,709,884,389,575,308,767,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,3408,696,792,336,564,268,727,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_4.json,700,7952,1302,1785,807,1287,559,1673,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,2272,394,567,299,496,173,442,37,308
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,700,7952,1265,1838,841,1371,253,1297,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_8.json,700,7952,1275,1650,838,1314,314,1254,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_7.json,900,10224,1615,2132,1100,1774,281,1772,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_0.json,500,5680,908,1356,590,965,399,1173,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,3408,597,815,383,704,269,690,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,600,6816,1127,1380,716,1190,83,861,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_3.json,800,9088,1386,1967,932,1499,465,1728,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,2272,413,552,255,420,241,554,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_9.json,700,7952,1307,1784,971,1624,668,1654,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_2.json,600,6816,1247,1669,672,1076,502,1399,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,1136,218,289,116,192,128,282,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,3408,654,979,390,557,173,510,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_6.json,400,4544,810,929,560,874,334,991,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,1136,216,277,121,258,130,313,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,2272,581,763,268,387,200,518,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,1136,211,328,127,218,149,310,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_3.json,400,4544,779,998,486,754,236,866,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_0.json,600,6816,1216,1662,702,1085,154,944,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,4544,719,1066,463,789,220,751,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_4.json,900,10224,1620,2229,1111,1769,313,1517,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_0.json,700,7952,1239,1738,813,1484,196,1151,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,500,5680,920,1452,534,921,270,1093,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_0.json,800,9088,1428,2081,894,1425,419,1589,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_3.json,900,10224,1563,2415,1020,1715,462,1754,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_4.json,500,5680,889,1315,601,1000,339,1137,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_2.json,800,9088,1397,1998,962,1675,169,1185,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_3.json,600,6816,1048,1537,687,1064,226,920,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_9.json,900,10224,1689,2213,1118,1718,346,1547,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_1.json,500,5680,909,1206,569,894,263,1000,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,1136,326,353,133,211,111,258,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,1136,227,328,127,242,119,322,16,136
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,400,4544,868,1198,524,745,317,834,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,2272,598,734,249,371,236,511,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,600,6816,1093,1598,661,1039,591,1414,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_7.json,600,6816,1092,1502,809,1316,595,1484,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,400,4544,801,1098,463,735,460,1047,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,3408,576,800,336,574,344,784,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_5.json,600,6816,1071,1635,739,1299,159,900,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_9.json,600,6816,1142,1621,666,1078,421,1430,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_0.json,900,10224,1533,2142,1122,1712,280,1464,0,900
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,3408,584,759,313,529,300,720,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,1136,355,457,136,254,171,325,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,600,6816,1177,1668,706,1100,235,1182,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,1136,219,292,118,177,108,252,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_8.json,600,6816,1254,1669,701,1110,272,1223,0,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,700,7952,1292,1774,827,1332,548,1452,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,2272,483,615,249,420,94,399,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,3408,548,795,364,521,241,680,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,2272,389,519,211,347,248,569,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_7.json,500,5680,908,1305,562,885,410,1079,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,4544,804,1156,463,732,267,888,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_6.json,800,9088,1421,1973,1059,1742,469,1564,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,3408,525,744,375,606,303,803,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,4544,762,1090,450,780,216,788,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_4.json,800,9088,1496,2182,1118,1832,580,1765,0,800
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_6.json,700,7952,1201,1775,807,1332,67,847,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,2272,704,873,215,359,109,408,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_7.json,700,7952,1280,1900,1017,1729,427,1312,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_3.json,700,7952,1244,1605,942,1548,166,1017,0,700
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,1136,331,330,164,222,143,281,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,2272,489,697,236,454,227,539,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,1136,278,325,117,168,170,278,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_8.json,500,5680,909,1377,572,860,477,1152,0,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,1136,302,370,107,197,133,270,15,140
