file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,9869,4377,7063,3869,3768,2885,2964,2506
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,8848,4057,7057,3665,3337,2508,2219,1984
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,6292,2658,5075,2541,2469,1827,1920,1528
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,12053,5649,10565,5249,6077,4501,4020,3361
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,8374,3897,6301,3553,3654,2738,2511,2045
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,8385,4139,7546,4074,3995,2961,2786,2350
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,4012,1791,3781,1976,2238,1475,1314,1094
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,10619,5137,8999,4793,5824,4017,3489,2784
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,12466,5707,10077,4968,5486,3839,3814,3135
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,2756,967,1594,1042,1054,672,450,325
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,9508,4592,7909,3892,4667,3429,2955,2444
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,3230,1355,2547,1478,1673,1206,823,612
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,7690,3315,5338,2985,3316,2447,2335,1805
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,11541,5623,10362,5615,5330,4114,3714,3166
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,4811,2821,3834,2007,2595,1660,1097,929
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,18545,6672,10006,4907,5522,4140,3618,3165
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,9646,5925,6773,3596,3663,2748,2466,2024
