file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,17403,5025,17403,5025,9563,3493,9563,3493
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,13884,3848,13884,3848,8767,3131,8767,3131
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,9714,2693,9714,2693,4847,1735,4847,1735
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,22485,6238,22485,6238,12705,4420,12705,4420
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,15691,4398,15691,4398,8153,2875,8153,2875
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,16979,4754,16979,4754,10052,3744,10052,3744
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,8874,2567,8874,2567,4316,1502,4316,1502
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,19467,5398,19467,5398,11638,4216,11638,4216
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,23690,6851,23690,6851,12205,4224,12205,4224
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,2931,771,2931,771,1862,649,1862,649
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,16876,4723,16876,4723,10658,3932,10658,3932
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,5202,1390,5202,1390,3483,1227,3483,1227
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,12292,3481,12292,3481,5732,2061,5732,2061
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,23427,6613,23427,6613,12683,4594,12683,4594
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,8030,2255,8030,2255,5002,1785,5002,1785
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,22122,6111,22122,6111,13357,4927,13357,4927
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,14829,4117,14829,4117,8234,2941,8234,2941
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,7713,2187,7713,2187,4971,1718,4971,1718
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,20931,5997,20931,5997,11938,4329,11938,4329
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,12741,3407,12741,3407,6816,2524,6816,2524
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,2811,804,2811,804,1675,586,1675,586
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,12730,3634,12730,3634,7407,2751,7407,2751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,16083,4531,16083,4531,9998,3472,9998,3472
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,20114,5714,20114,5714,10360,3675,10360,3675
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,15693,4478,15693,4478,9706,3483,9706,3483
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,10751,2927,10751,2927,6175,2194,6175,2194
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,18846,5252,18846,5252,10896,3777,10896,3777
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,10235,2872,10235,2872,6945,2514,6945,2514
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,22265,6464,22265,6464,12927,4708,12927,4708
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,14178,4186,14178,4186,8374,3053,8374,3053
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,12182,3332,12182,3332,7476,2780,7476,2780
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,17535,4888,17535,4888,10702,3694,10702,3694
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,3834,2881,823,2881,823,1948,722,1948,722
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,15336,9493,2655,9493,2655,6429,2499,6429,2499
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,30672,18058,5167,18058,5167,10835,3826,10835,3826
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,15336,10688,3014,10688,3014,6177,2191,6177,2191
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,23004,14595,4250,14595,4250,8463,3141,8463,3141
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,11502,8159,2307,8159,2307,4286,1549,4286,1549
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,19170,12870,3625,12870,3625,7008,2449,7008,2449
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,7668,5503,1650,5503,1650,3496,1277,3496,1277
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,19170,11698,3220,11698,3220,7305,2637,7305,2637
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,19170,11368,3124,11368,3124,7243,2491,7243,2491
