cycle,index,qops,qbt,swaps_distance_only,depth_distance_only,swaps_layer_adjusted,depth_layer_adjusted,swaps_qlosure,depth_qlosure,swaps_our_layout_qlosure,depth_our_layout_qlosure,,
100,0,5751,81,4608,1566,4410,1280,3324,925,2266,705,,
100,1,5751,81,3834,1366,4528,1520,3146,866,2252,621,,
100,2,5751,81,5039,1678,4773,1426,3189,879,2233,610,,
100,3,5751,81,4808,1637,4670,1335,3533,937,2352,653,,
100,4,5751,81,5181,1592,4338,1315,3046,783,2339,657,,
200,0,11502,81,8444,2771,8515,2471,6648,1926,4761,1344,,
200,1,11502,81,8343,2754,8334,2823,6060,1805,4716,1380,,
200,2,11502,81,10204,3476,8501,2513,5583,1690,4681,1441,,
200,3,11502,81,9530,3133,7855,2553,6637,1856,4952,1569,,
200,4,11502,81,8844,3074,8075,2641,6056,1843,4774,1559,,
300,0,17253,81,11644,4057,12136,3924,9289,2912,7285,2311,,
300,1,17253,81,12063,4101,11170,3615,9429,2789,7194,2219,,
300,2,17253,81,11983,4203,12048,3860,9467,2725,6905,2158,,
300,3,17253,81,12852,4430,11210,3514,9391,2804,6955,2152,,
300,4,17253,81,12469,4063,13183,4141,9257,2756,6835,2081,,
400,0,23004,81,15936,5111,15821,5303,12585,4017,9333,2945,,
400,1,23004,81,16569,6121,14083,4734,11919,3822,9461,2997,,
400,2,23004,81,16260,5490,16220,5222,12152,3564,9796,2907,,
400,3,23004,81,20906,5109,14844,4878,12450,3956,10022,3182,,
400,4,23004,81,15954,5083,14949,4880,11921,3633,9847,3127,,
500,0,28755,81,21123,6940,18301,5927,15081,4680,12403,3930,,
500,1,28755,81,21428,7503,21073,6578,15569,4811,11751,3659,,
500,2,28755,81,20647,6557,19410,6403,15584,5003,12056,3799,,
500,3,28755,81,20957,7035,18395,5848,13084,3937,12531,4203,,
500,4,28755,81,19672,6579,19213,6004,15110,4631,12181,3943,,
600,0,34506,81,22522,7336,24503,7672,16792,5365,14451,4578,,
600,1,34506,81,23990,8107,26968,8609,15276,4885,14615,4549,,
600,2,34506,81,24328,8118,22907,7226,16192,5348,14801,4685,,
600,3,34506,81,25344,8239,24781,8253,15838,5286,14497,4489,,
600,4,34506,81,24598,8314,21162,6814,15095,4622,14888,4816,,
700,0,40257,81,25632,8660,24573,7620,18257,5883,16862,5354,,
700,1,40257,81,28141,9763,23309,7212,17431,5413,17833,5771,,
700,2,40257,81,25805,8535,26788,8723,21193,6723,17596,5530,,
700,3,40257,81,27364,9414,27391,8770,17162,5588,16746,5290,,
700,4,40257,81,28376,9704,25784,8542,21394,6845,17389,5836,,
800,0,46008,81,30654,10271,30205,9777,20203,6287,19582,6413,,
800,1,46008,81,29759,10670,27467,8474,20169,6764,19338,6214,,
800,2,46008,81,32849,11626,29219,9016,26433,8731,20055,6807,,
800,3,46008,81,28629,9583,30029,9663,21100,6596,19706,6323,,
800,4,46008,81,32250,11650,32259,10560,22254,6932,18927,5996,,
900,0,51759,81,38256,13006,32937,10637,22642,7227,22057,7176,,
900,1,51759,81,33431,11313,35996,11233,25465,8382,22552,7519,,
900,2,51759,81,32037,10660,35316,11203,24524,7920,23562,7409,,
900,3,51759,81,33942,11352,34682,11141,23233,7695,21351,6770,,
