filename,final_depth,swap_count,runtime,compiled_qasm_file
adder_n28__42CYC.json,301,114,0.08336114883422852,results/circuits/adder_n28__42CYC_compiled_20250819-120210.qasm
adder_n64__78CYC.json,615,368,0.9907181262969971,results/circuits/adder_n64__78CYC_compiled_20250819-120211.qasm
bv_n30__22CYC.json,64,28,0.007927894592285156,results/circuits/bv_n30__22CYC_compiled_20250819-120211.qasm
bv_n70__40CYC.json,114,51,0.013978004455566406,results/circuits/bv_n70__40CYC_compiled_20250819-120211.qasm
cat_n35__36CYC.json,63,26,0.003165006637573242,results/circuits/cat_n35__36CYC_compiled_20250819-120212.qasm
cat_n65__66CYC.json,121,59,0.0059626102447509766,results/circuits/cat_n65__66CYC_compiled_20250819-120212.qasm
dnn_n51__58CYC.json,616,213,0.4082448482513428,results/circuits/dnn_n51__58CYC_compiled_20250819-120213.qasm
ghz_n40__41CYC.json,75,33,0.0033833980560302734,results/circuits/ghz_n40__41CYC_compiled_20250819-120213.qasm
ghz_n78__79CYC.json,150,77,0.0069713592529296875,results/circuits/ghz_n78__79CYC_compiled_20250819-120213.qasm
ising_n34__16CYC.json,28,33,0.011640071868896484,results/circuits/ising_n34__16CYC_compiled_20250819-120213.qasm
ising_n66__16CYC.json,31,73,0.04855465888977051,results/circuits/ising_n66__16CYC_compiled_20250819-120213.qasm
knn_n31__18CYC.json,206,68,0.07739663124084473,results/circuits/knn_n31__18CYC_compiled_20250819-120213.qasm
knn_n67__36CYC.json,462,213,1.1677424907684326,results/circuits/knn_n67__36CYC_compiled_20250819-120215.qasm
multiplier_n45__462CYC.json,3276,1219,0.7552328109741211,results/circuits/multiplier_n45__462CYC_compiled_20250819-120218.qasm
multiplier_n75__1308CYC.json,9639,4312,4.184685945510864,results/circuits/multiplier_n75__1308CYC_compiled_20250819-120231.qasm
qft_n29__222CYC.json,629,432,0.4110393524169922,results/circuits/qft_n29__222CYC_compiled_20250819-120233.qasm
qft_n63__494CYC.json,1808,1636,2.884235382080078,results/circuits/qft_n63__494CYC_compiled_20250819-120239.qasm
qugan_n39__40CYC.json,398,153,0.13459038734436035,results/circuits/qugan_n39__40CYC_compiled_20250819-120240.qasm
qugan_n71__72CYC.json,757,371,0.639216423034668,results/circuits/qugan_n71__72CYC_compiled_20250819-120242.qasm
swap_test_n41__23CYC.json,272,102,0.23587799072265625,results/circuits/swap_test_n41__23CYC_compiled_20250819-120242.qasm
wstate_n36__73CYC.json,172,65,0.01531672477722168,results/circuits/wstate_n36__73CYC_compiled_20250819-120242.qasm
wstate_n76__153CYC.json,372,139,0.03795790672302246,results/circuits/wstate_n76__153CYC_compiled_20250819-120242.qasm
