filename,final_depth,swap_count,runtime,compiled_qasm_file
adder_n28__42CYC.json,339,187,0.08195352554321289,results/circuits/adder_n28__42CYC_compiled_20250819-120127.qasm
adder_n64__78CYC.json,696,657,1.2825524806976318,results/circuits/adder_n64__78CYC_compiled_20250819-120129.qasm
bv_n30__22CYC.json,87,42,0.007136344909667969,results/circuits/bv_n30__22CYC_compiled_20250819-120129.qasm
bv_n70__40CYC.json,176,106,0.015386819839477539,results/circuits/bv_n70__40CYC_compiled_20250819-120129.qasm
cat_n35__36CYC.json,74,48,0.0035583972930908203,results/circuits/cat_n35__36CYC_compiled_20250819-120129.qasm
cat_n65__66CYC.json,158,109,0.0072667598724365234,results/circuits/cat_n65__66CYC_compiled_20250819-120129.qasm
dnn_n51__58CYC.json,602,381,0.3542609214782715,results/circuits/dnn_n51__58CYC_compiled_20250819-120130.qasm
ghz_n40__41CYC.json,101,73,0.004988431930541992,results/circuits/ghz_n40__41CYC_compiled_20250819-120130.qasm
ghz_n78__79CYC.json,201,147,0.008896827697753906,results/circuits/ghz_n78__79CYC_compiled_20250819-120130.qasm
ising_n34__16CYC.json,32,46,0.008540630340576172,results/circuits/ising_n34__16CYC_compiled_20250819-120130.qasm
ising_n66__16CYC.json,37,121,0.04771542549133301,results/circuits/ising_n66__16CYC_compiled_20250819-120130.qasm
knn_n31__18CYC.json,236,139,0.10749387741088867,results/circuits/knn_n31__18CYC_compiled_20250819-120131.qasm
knn_n67__36CYC.json,518,382,1.381295919418335,results/circuits/knn_n67__36CYC_compiled_20250819-120132.qasm
multiplier_n45__462CYC.json,3808,2065,0.9931879043579102,results/circuits/multiplier_n45__462CYC_compiled_20250819-120136.qasm
multiplier_n75__1308CYC.json,10822,6154,4.584717273712158,results/circuits/multiplier_n75__1308CYC_compiled_20250819-120147.qasm
qft_n29__222CYC.json,598,577,0.35831427574157715,results/circuits/qft_n29__222CYC_compiled_20250819-120148.qasm
qft_n63__494CYC.json,1844,3033,3.1298887729644775,results/circuits/qft_n63__494CYC_compiled_20250819-120155.qasm
qugan_n39__40CYC.json,359,191,0.1765584945678711,results/circuits/qugan_n39__40CYC_compiled_20250819-120156.qasm
qugan_n71__72CYC.json,879,555,0.8402609825134277,results/circuits/qugan_n71__72CYC_compiled_20250819-120158.qasm
swap_test_n41__23CYC.json,306,166,0.1711132526397705,results/circuits/swap_test_n41__23CYC_compiled_20250819-120158.qasm
wstate_n36__73CYC.json,192,99,0.014588356018066406,results/circuits/wstate_n36__73CYC_compiled_20250819-120158.qasm
wstate_n76__153CYC.json,408,267,0.03597736358642578,results/circuits/wstate_n76__153CYC_compiled_20250819-120158.qasm
