filename,final_depth,swap_count,runtime,compiled_qasm_file
bigadder_n18__37CYC.json,228,52,0.024023056030273438,results/circuits/bigadder_n18__37CYC_compiled_20250819-120111.qasm
bv_n14__17CYC.json,59,18,0.0039615631103515625,results/circuits/bv_n14__17CYC_compiled_20250819-120111.qasm
bv_n19__22CYC.json,75,23,0.005681276321411133,results/circuits/bv_n19__22CYC_compiled_20250819-120111.qasm
cat_state_n22__23CYC.json,37,18,0.0024814605712890625,results/circuits/cat_state_n22__23CYC_compiled_20250819-120111.qasm
dnn_n16__173CYC.json,448,36,0.09868288040161133,results/circuits/dnn_n16__173CYC_compiled_20250819-120112.qasm
ghz_state_n23__24CYC.json,42,18,0.0024170875549316406,results/circuits/ghz_state_n23__24CYC_compiled_20250819-120112.qasm
ising_n26__16CYC.json,27,26,0.006401777267456055,results/circuits/ising_n26__16CYC_compiled_20250819-120112.qasm
knn_n25__15CYC.json,170,58,0.05981302261352539,results/circuits/knn_n25__15CYC_compiled_20250819-120112.qasm
multiplier_n15__49CYC.json,336,107,0.035947322845458984,results/circuits/multiplier_n15__49CYC_compiled_20250819-120113.qasm
multiply_n13__7CYC.json,69,31,0.0069887638092041016,results/circuits/multiply_n13__7CYC_compiled_20250819-120113.qasm
qec9xz_n17__16CYC.json,69,45,0.00934147834777832,results/circuits/qec9xz_n17__16CYC_compiled_20250819-120113.qasm
qf21_n15__52CYC.json,301,70,0.015135765075683594,results/circuits/qf21_n15__52CYC_compiled_20250819-120113.qasm
qft_n18__134CYC.json,325,154,0.08505725860595703,results/circuits/qft_n18__134CYC_compiled_20250819-120113.qasm
qram_n20__24CYC.json,246,73,0.02081584930419922,results/circuits/qram_n20__24CYC_compiled_20250819-120114.qasm
sat_n11__51CYC.json,560,104,0.02866363525390625,results/circuits/sat_n11__51CYC_compiled_20250819-120114.qasm
seca_n11__37CYC.json,108,25,0.01115107536315918,results/circuits/seca_n11__37CYC_compiled_20250819-120114.qasm
square_root_n18__203CYC.json,1984,540,0.17934441566467285,results/circuits/square_root_n18__203CYC_compiled_20250819-120116.qasm
swap_test_n25__15CYC.json,171,58,0.05957937240600586,results/circuits/swap_test_n25__15CYC_compiled_20250819-120116.qasm
wstate_n27__55CYC.json,126,39,0.009398460388183594,results/circuits/wstate_n27__55CYC_compiled_20250819-120116.qasm
