filename,final_depth,swap_count,runtime,compiled_qasm_file
bigadder_n18__37CYC.json,263,104,0.031200170516967773,results/circuits/bigadder_n18__37CYC_compiled_20250819-120053.qasm
bv_n14__17CYC.json,74,23,0.003732919692993164,results/circuits/bv_n14__17CYC_compiled_20250819-120053.qasm
bv_n19__22CYC.json,90,34,0.005197286605834961,results/circuits/bv_n19__22CYC_compiled_20250819-120053.qasm
cat_state_n22__23CYC.json,53,36,0.0029113292694091797,results/circuits/cat_state_n22__23CYC_compiled_20250819-120053.qasm
dnn_n16__173CYC.json,530,53,0.08002185821533203,results/circuits/dnn_n16__173CYC_compiled_20250819-120055.qasm
ghz_state_n23__24CYC.json,54,35,0.00283050537109375,results/circuits/ghz_state_n23__24CYC_compiled_20250819-120055.qasm
ising_n26__16CYC.json,25,36,0.006297588348388672,results/circuits/ising_n26__16CYC_compiled_20250819-120055.qasm
knn_n25__15CYC.json,211,129,0.06264019012451172,results/circuits/knn_n25__15CYC_compiled_20250819-120055.qasm
multiplier_n15__49CYC.json,371,158,0.0379788875579834,results/circuits/multiplier_n15__49CYC_compiled_20250819-120055.qasm
multiply_n13__7CYC.json,75,48,0.008024930953979492,results/circuits/multiply_n13__7CYC_compiled_20250819-120055.qasm
qec9xz_n17__16CYC.json,71,81,0.012463808059692383,results/circuits/qec9xz_n17__16CYC_compiled_20250819-120055.qasm
qf21_n15__52CYC.json,329,94,0.01741790771484375,results/circuits/qf21_n15__52CYC_compiled_20250819-120056.qasm
qft_n18__134CYC.json,302,212,0.08031582832336426,results/circuits/qft_n18__134CYC_compiled_20250819-120056.qasm
qram_n20__24CYC.json,278,148,0.02491474151611328,results/circuits/qram_n20__24CYC_compiled_20250819-120056.qasm
sat_n11__51CYC.json,615,175,0.03312110900878906,results/circuits/sat_n11__51CYC_compiled_20250819-120057.qasm
seca_n11__37CYC.json,208,47,0.013243436813354492,results/circuits/seca_n11__37CYC_compiled_20250819-120057.qasm
square_root_n18__203CYC.json,2137,704,0.1880497932434082,results/circuits/square_root_n18__203CYC_compiled_20250819-120058.qasm
swap_test_n25__15CYC.json,210,127,0.07067751884460449,results/circuits/swap_test_n25__15CYC_compiled_20250819-120059.qasm
wstate_n27__55CYC.json,140,55,0.009287834167480469,results/circuits/wstate_n27__55CYC_compiled_20250819-120059.qasm
